experiment_name	model	num_pops	fst	wdiff	wvar	correlation	generations	replicate_number	S_value_Driftsel	S_value_Driftsel_Neutral	p_value_QSTFST	p_value_QSTFST_Neutral	p_value_MONET	log_ratio_MONET	p_value_MONET_Neutral	log_ratio_MONET_Neutral
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	92	0.946865445351857	0.591916830835869	0.004	0.965	0.0	1.9356710195293	0.34575	0.807923715479507
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	59	0.925581840895064	0.620622492305234	0.003	0.836	0.0015	1.82349673127947	0.23325	0.810559294571319
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	89	0.957794786852124	0.478995057091638	0.002	0.624	0.0	1.94163297974047	0.80625	0.179979048330552
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	76	0.972673328616953	0.499270304562169	0.002	0.924	0.0	2.52969453533402	0.89375	0.0983325536179892
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	9	0.912866589142207	0.637575045709286	0.004	0.534	0.006	1.55640494454685	0.213	0.961944303627671
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	70	0.910875226983867	0.549510408992894	0.002	0.784	0.00625	1.53964710886348	0.393	0.706450455100469
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	96	0.954463224865029	0.689494287540844	0.002	0.334	0.001	1.7954811482039	0.064	1.47700464774893
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	51	0.868065410464115	0.58611497273417	0.01	0.524	0.00975	1.44823020728131	0.62625	0.363687632509279
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	95	0.744381244174978	0.796247011142023	0.091	0.096	0.0795	0.988172979380572	0.04	1.404693035214
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	82	0.951045807308995	0.405069280357411	0.001	0.488	0.0055	1.68868947576018	0.901	-0.171210799159256
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	53	0.809484832592304	0.489727081753738	0.033	0.518	0.039	1.20437793251036	0.65325	0.310102511127069
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	88	0.923789798287835	0.265826332575915	0.001	0.089	0.00175	1.71249706187688	0.12875	-2.79282213370276
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	90	0.923392929751184	0.561721873956945	0.011	0.994	0.00175	1.84898659949671	0.22125	0.93609004395156
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	67	0.946278293246551	0.447042466320479	0.0	0.484	0.00175	1.77860400294835	0.802	0.111808566970836
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	8	0.929622135740549	0.160404653234383	0.002	0.024	0.0025	1.69237867992444	0.01425	-3.66286428138147
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	77	0.961826405373949	0.489991518019988	0.0	0.907	0.0005	1.85889501039203	0.697	0.278752385931377
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	87	0.948978038670337	0.617676079260919	0.001	0.781	0.0005	1.86922099381033	0.205	1.0547640492386
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	57	0.953396544318003	0.342879535185723	0.005	0.511	0.0005	2.01008344850591	0.90075	-0.124574793664822
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	6	0.921900583625015	0.273803002847473	0.001	0.243	0.0045	1.60085242644739	0.4445	-0.688585718641309
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	500	0.914629245190123	0.681373113465961	0.001	0.453	0.00525	1.53616655207424	0.3725	0.705475594989598
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	75	0.880691609293627	0.325911774657851	0.008	0.187	0.00925	1.50561041684826	0.27325	-1.81863235971783
